place_id,scan_date,name,category_query,locality,address,phone,website_status,social_url,rating,review_count,maps_url,types
ChIJw_OywqUaSUcRViWuin6E2io,2026-08-13,Magazin De Furaje,magazin furaje,Gilau,"Luna de Sus, România",,none,,,0,https://maps.google.com/?cid=3087926173543310678&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,point_of_interest|establishment
ChIJ0x3V_ykbSUcRE-MEofXU_CQ,2026-08-13,Oncos Impex,magazin furaje,Gilau,407310 Gilău,0264 265 915,none,,4.4,97,https://maps.google.com/?cid=2665239230930019091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,supermarket|grocery_store|food_store|store|food
ChIJM87oXQAbSUcRopm2Yt7yuVA,2026-08-13,Giardini E Fiori,magazin furaje,Gilau,"Strada 1 Decembrie 1918 500, 407310, Gilău",0775 257 284,none,,4.9,29,https://maps.google.com/?cid=5816947430678501794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,wholesaler|farm|service|point_of_interest|establishment
ChIJVVVxMmYOSUcR7boYg8KwguM,2026-08-13,Agrosona,magazin furaje,Floresti Cluj,"Strada Cetății 54, 407280 Florești",0741 434 682,none,,3.6,17,https://maps.google.com/?cid=16393859943051606765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,wholesaler|store|service|point_of_interest|establishment
ChIJLxZJwyYPSUcRie4yCc_KbDU,2026-08-13,Pet Shop,magazin furaje,Floresti Cluj,"Bloc V2, Calea Florești 75, 400535 Cluj-Napoca",,none,,5,6,https://maps.google.com/?cid=3849674772056305289&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pet_care|store|point_of_interest|establishment
ChIJO6d888EOSUcRPmGdH-SW1yE,2026-08-13,Serlad,magazin furaje,Floresti Cluj,"Strada Corneliu Coposu 144, 400235 Cluj-Napoca",0748 964 817,none,,4.4,9,https://maps.google.com/?cid=2438583629771530558&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pet_store|store|supplier|food|point_of_interest
ChIJc7XnB3YMSUcRfU9VXfCwgrI,2026-08-13,Magazinul Gospodarului,magazin furaje,Floresti Cluj,"Strada Ploiești nr. 1, 400157 Cluj-Napoca",0740 068 486,none,,4,73,https://maps.google.com/?cid=12863038032128069501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,clothing_store|store|point_of_interest|establishment
ChIJGWJp-sgPSUcRO0kJ1vF0xqY,2026-08-13,Magazin de pescuit Eroilor 14 Floresti,magazin furaje,Floresti Cluj,"Str. Eroilor 14, 407280 Florești",0742 246 851,none,,4.5,6,https://maps.google.com/?cid=12017421237711620411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,store|point_of_interest|establishment
ChIJcwdp8SMQSUcRiraRGtcVvaY,2026-08-13,Merca Vet,magazin furaje,Floresti Cluj,"Strada Porii 154, bl.8, 407280 Florești",0743 043 041,none,,4.7,27,https://maps.google.com/?cid=12014783394502260362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,veterinary_care|pet_care|point_of_interest|establishment
ChIJF2QaZCkQSUcRiMmej9ybo3M,2026-08-13,Ferma de pui Floresti,magazin furaje,Floresti Cluj,"Ferma de pui Floresti, Str. Eroilor, 407280 Florești",,none,,,0,https://maps.google.com/?cid=8332675107170208136&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,premise|street_address
